,BEST,BEDD,BEDA,BEAT,BETA,BADD,BESD,BESE,BEDB,BESB,BAAD,BATD,BETT,BEDT,BESS
BEST,0.0,0.5,0.5,0.25,0.5,0.75,0.25,0.25,0.5,0.25,0.75,0.75,0.25,0.25,0.25
BEDD,0.5,0.0,0.25,0.5,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.25,0.5
BEDA,0.5,0.25,0.0,0.5,0.25,0.5,0.5,0.5,0.25,0.5,0.75,0.75,0.5,0.25,0.5
BEAT,0.25,0.5,0.5,0.0,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.75,0.25,0.25,0.5
BETA,0.5,0.5,0.25,0.5,0.0,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.5
BADD,0.75,0.25,0.5,0.75,0.75,0.0,0.5,0.75,0.5,0.75,0.25,0.25,0.75,0.5,0.75
BESD,0.25,0.25,0.5,0.5,0.5,0.5,0.0,0.25,0.5,0.25,0.5,0.5,0.5,0.5,0.25
BESE,0.25,0.5,0.5,0.5,0.5,0.75,0.25,0.0,0.5,0.25,0.75,0.75,0.5,0.5,0.25
BEDB,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.0,0.25,0.75,0.75,0.5,0.25,0.5
BESB,0.25,0.5,0.5,0.5,0.5,0.75,0.25,0.25,0.25,0.0,0.75,0.75,0.5,0.5,0.25
BAAD,0.75,0.5,0.75,0.5,0.75,0.25,0.5,0.75,0.75,0.75,0.0,0.25,0.75,0.75,0.75
BATD,0.75,0.5,0.75,0.75,0.5,0.25,0.5,0.75,0.75,0.75,0.25,0.0,0.5,0.75,0.75
BETT,0.25,0.5,0.5,0.25,0.25,0.75,0.5,0.5,0.5,0.5,0.75,0.5,0.0,0.25,0.5
BEDT,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.25,0.5,0.75,0.75,0.25,0.0,0.5
BESS,0.25,0.5,0.5,0.5,0.5,0.75,0.25,0.25,0.5,0.25,0.75,0.75,0.5,0.5,0.0
